ArmCount,Biomarkers,Condition,Controls,DevStatus,DevStatusId,Drug,DrugId,EnrollmentCount,Interventions,Patients,ProtocolAcronym,ProtocolTitle,Reference,Sponsor,TrialId,TrialStartDate,TrialStatus
1,FEV1,Asthma,null,Phase 3b Clinical,C3B,"ciclesonide (metered dose inhaler), Teijin/Covis/AstraZeneca",12803,101,"ciclesonide (metered dose inhaler), Nycomed",101,null,Effect of Ciclesonide on Quality of Life in Patients With Moderate Persistent Asthma (21 to 65 years),BY9010/AR-101; NCT00305461,AstraZeneca plc,22129,"FEBRUARY , 28, 2006",Completed
4,null,Gout,triamcinolone acetonide,Phase 3 Clinical,C3,"triamcinolone acetonide (nasal spray, allergic rhinitis), Sanofi",12937,397,canakinumab; canakinumab-LYO; canakinumab-PFS,399,null,Safety and Efficacy of Canakinumab Prefilled Syringes in Frequently Flaring Acute Gouty Arthritis Patients,2010-024173-39; CACZ885H2361; NCT01356602,Novartis AG,77484,"MAY      , 31, 2011",Completed
1,FEV,Asthma,null,Phase 3 Clinical,C3,"ciclesonide (metered dose inhaler), Teijin/Covis/AstraZeneca",12803,708,"ciclesonide (metered dose inhaler), Nycomed",700,null,Efficacy of Ciclesonide Versus Placebo Administered as Once Daily or Twice Daily in Patients Not Treated With Inhaled Corticosteroid,EFC6164; NCT00174720; XRP1526B/3031,Sanofi SA,22083,"SEPTEMBER, 30, 2005",Completed
2,Forced expiratory volume,Chronic obstructive pulmonary disease,"fluticasone propionate + salmeterol (asthma and COPD), GlaxoSmithKline",Phase 3 Clinical,C3,"fluticasone furoate + vilanterol trifenatate  (oral inhalant, asthma/COPD), GlaxoSmithKline",59060,110,"fluticasone furoate + vilanterol trifenatate  (oral inhalant, asthma/COPD), GlaxoSmithKline",110,null,"A 12-Week Study To Compare Lung Function Within 24 H With The Combination Of Fluticasone Furoate (FF)/Vilanterol (VI) Of 100/25 microg, qd, And A Combination Of Fluticasone Propionate/Salmeterol Of 250/50 microg, bid, In Patients With Chronic Obstructive Pulmonary Disease (COPD)",2010-023418-29; HZC113109,GlaxoSmithKline plc,165358,"APRIL    , 06, 2011",Completed
2,FEV1,Asthma,null,Phase 3 Clinical,C3,"fluticasone furoate (inhaled, respiratory disorders), GlaxoSmithKline",57097,248,"albuterol/salbutamol; fluticasone furoate (inhaled, respiratory disorders), GlaxoSmithKline",242,null,Clinical Study Evaluating Safety and Efficacy of Fluticasone Furoate in People With Asthma,115283; FFA115283; NCT01436071,GlaxoSmithKline plc,80899,"SEPTEMBER, 30, 2011",Completed
5,Forced expiratory volume; Peak expiratory flow rate,Asthma,null,Phase 2 Clinical,C2,"fluticasone furoate + umeclidinium (asthma, DPI), GlaxoSmithKline",90982,338,"Arnuity; GSK-2834425; Relvar Ellipta; Seretide; fluticasone furoate + umeclidinium (asthma, DPI), GlaxoSmithKline",338,null,Evaluation of Umeclidinium Bromide in Combination With Fluticasone Furoate in COPD Subjects With an Asthmatic Component,2014-000883-16; GSK: 200699; NCT02164539,GlaxoSmithKline plc,197089,"JULY     , 01, 2014",Completed
1,C-terminal telopeptide of collagen type I; Collagen type I trimeric cross-linked peptide; Plasma cortisol; Plasma insulin; Serum adiponectin; Serum glucose; Serum osteocalcin; Urine N terminal telopeptide of type I collagen (uNTX),Rheumatoid arthritis,null,Phase 1 Clinical,C1,fosdagrocorat,59618,27,PF-04171327,18,null,PK And Safety Study Of PF-04171327 In Healthy Japanese And Western Subjects In Fasting And Fed Conditions,A9391012; NCT01362673,Pfizer Inc,77776,"MAY      , 31, 2011",Completed
2,Glycated hemoglobin; Hydrocortisone,Addisons disease,hydrocortisone,Phase 2/Phase 3 Clinical,C23,"dual-release hydrocortisone (oral, adrenal insufficiency), ViroPharma",58174,64,"dual-release hydrocortisone (oral, adrenal insufficiency), ViroPharma",64,DC 06/02,Once-Daily Oral Modified-Release Hydrocortisone in Patients With Adrenal Insufficiency,104-07; DC 06/02; EudraCT: 2006-0007084-89; NCT00915343,Shire plc,57668,"AUGUST   , 31, 2007",Completed
2,Bone Mineral Density (BMD); Lumbar spine bone mineral density,Chronic obstructive pulmonary disease,vilanterol,Phase 4 Clinical,C4,"fluticasone furoate + vilanterol trifenatate  (oral inhalant, asthma/COPD), GlaxoSmithKline",59060,283,Relovair,283,null,Study Evaluating the Effect of Fluticasone Furoate/Vilanterol (FF/VI) Inhalation Powder Compared With Vilanterol (VI) Inhalation Powder on Bone Mineral Density (BMD) in Subjects With Chronic Obstructive Pulmonary Disease (COPD),102972; 2012-004801-28; HZC102972; NCT01957150,GlaxoSmithKline plc,157075,"JANUARY  , 28, 2014",Completed
3,null,Asthma,Symbicort Turbohaler; Viani,Phase 3 Clinical,C3,"fluticasone furoate + vilanterol trifenatate  (oral inhalant, asthma/COPD), GlaxoSmithKline",59060,422,Relvar Ellipta,422,null,Efficacy study to evaluate fluticasone furoate/vilanterol inhalation powder delivered once daily via the Dry Powder Inhaler Ellipta compared with usual ICS/LABA maintenance therapy delivered by dry powder Inhaler in subjects with persistent asthma,2014-000551-81; HZA116492,GlaxoSmithKline Research & Development Ltd,309224,"AUGUST   , 01, 2016",Completed
2,Blood cell count; Thyroid-stimulating hormone,Vulvar intraepithelial neoplasia,null,Phase 2 Clinical,C2,"clobetasol propionate foam, Connetics",18168,56,clobetasol; tacrolimus,56,null,Tacrolimus Versus Clobetasol Propionate in the Treatment of Vulvar Lichen Sclerosus,NCT00757874; STJUSTINEH,CHU de Quebec-Universite Laval,198682,"APRIL    , 30, 2006",Completed
1,null,Ataxia telangiectasia,null,Phase 3 Clinical,C3,"dexamethasone sodium phosphate (erythrocyte encapsulated), Urbino University/EryDel",70257,180,EryDex,180,ATTeST,EDS in Ataxia Telangiectasia Patients,115929; 2015-005241-31; ATTeST; CTRI/2017/02/007912; IEDAT-02-2015; NCT02770807,EryDel SPA,260767,"MARCH    , 02, 2017",Recruiting
4,Blood pressure; Diastolic blood pressure; Glucose; Heart rate; QT interval; Systolic blood pressure,Asthma,null,Phase 1 Clinical,C1,"beclomethasone dipropionate + formoterol fumarate + CHF-5992 (inhaled, COPD), Chiesi",73605,50,CHF-5993; HFA-pressurised Metered Dose Inhaler; NEXThaler Dry Powder Inhaler; Valved Holding Chamber,50,null,Clinical Pharmacology Study to Evaluate the Total Systemic Exposure and the Lung Availability of CHF-5993 in Healthy Volunteers,2015-005198-19; CCD-05993BA1-01; NCT02743013,Chiesi Farmaceutici SpA,258618,"APRIL    , 30, 2016",Completed
1,null,Adrenal gland hypofunction,null,Phase 3 Clinical,C3,"hydrocortisone (oral granules, adrenal insufficiency), Diurnal/Emerge Health/Medison Pharma",79146,24,Infacort,24,null,Treatment of Adrenal Insufficiency in Children,2014-002265-30; INFACORT-003; NCT02720952,Diurnal Ltd,256755,"MARCH    , 31, 2015",Completed
1,null,Atrophy,null,Phase 2 Clinical,C2,"fluocinolone acetonide (intraocular implant), Alimera/pSivida",52822,17,Medidur FA,17,null,Fluocinolone Acetonide Intravitreal Inserts in Geographic Atrophy,C-01-08-004; NCT00695318,Alimera Sciences Inc,32426,"DECEMBER , 01, 2008",Terminated
1,Blood pressure; Heart rate; Heart rate; Serum cortisol; Serum potassium,Asthma,null,Phase 1 Clinical,C1,"fluticasone furoate + vilanterol trifenatate  (oral inhalant, asthma/COPD), GlaxoSmithKline",59060,35,Relovair,35,null,"A Study to Assess the Effects of Fluticasone Furoate and GW-642444-M Combination in Healthy Subjects and in Subjects With Mild, Moderate or Severe Hepatic Impairment",111789; NCT01266941,GlaxoSmithKline plc,73503,"OCTOBER  , 18, 2010",Completed
3,null,Asthma,null,Phase 1 Clinical,C1,"fluticasone furoate (inhaled, respiratory disorders), GlaxoSmithKline",57097,16,GW-642444; fluticasone furoate; fluticasone furoate/GW-642444,16,null,Study to Look at and Compare How Inhaled and Intravenous Fluticasone Furoate and GW-642444 Are Processed by the Body in Healthy Subjects,102934; NCT01299558,GlaxoSmithKline plc,75477,"MAY      , 17, 2010",Completed
2+,Blood platelets; Neutrophils,Graft versus host disease,Medrol; Rayos,Phase 3 Clinical,C3,"prednisone (oral, delayed release), Vectura/Mundipharma/Merck KGaA",54733,439,Medrol; Rayos; itacitinib,439,GRAVITAS-301,A Study of Itacitinib or Placebo in Combination With Corticosteroids for Treatment of Acute Graft-Versus-Host Disease,2017-000538-78; GRAVITAS-301; INCB 39110-301; INCB39110-301; NCT03139604,"Incyte Corp, MEDPACE SINGAPORE PTE LTD",297219,"JUNE     , 08, 2017",No longer recruiting
1,Blood flow; Cephalic vein; Radial artery,Fistula,null,Phase 2 Clinical,C2,"prednisolone (injectable liposome formulation, rheumatoid arthritis/ulcerative colitis), Enceladus",59891,30,Nanocort,30,LIPMAT,Liposomal Prednisolone to Improve Hemodialysis Fistula Maturation,2015-002488-40; LIPMAT; LIPMAT; NCT02495662,Leiden University Medical Center,234690,"NOVEMBER , 30, 2015",Terminated
3,FEV1; Peak Expiratory Flow (PEF),Asthma,"fluticasone furoate (inhaled, respiratory disorders), GlaxoSmithKline; fluticasone furoate + vilanterol (oral inhalant, asthma/COPD), GlaxoSmithKline",Phase 2 Clinical,C2,"fluticasone furoate + umeclidinium (asthma, DPI), GlaxoSmithKline",90982,421,"fluticasone furoate + umeclidinium (asthma, DPI), GlaxoSmithKline",421,ILA115938,"Evaluate the Safety, Efficacy and Dose Response of GSK-573719 in Combination With Fluticasone Furoate in Subjects With Asthma",115938; ILA115938; ILA115938; NCT01573624,GlaxoSmithKline plc,86335,"APRIL    , 03, 2012",Completed
2,Forced expiratory volume; Inspiratory capacity,Chronic obstructive pulmonary disease,null,Phase 3 Clinical,C3,"budesonide + formoterol (inhalant aerosol, chronic obstructive pulmonary disease), Pearl Therapeutics",70143,null,PT-009; PT-010,null,null,To Assess the Efficacy and Safety of PT-010 Compared to PT-009 in Subjects With Moderate to Very Severe Chronic Obstructive Pulmonary Disease,NCT03081247; PT010017,Pearl Therapeutics Inc,290987,"APRIL    , 16, 2018",Terminated
2,null,Asthma,null,Phase 1 Clinical,C1,"fluticasone furoate (inhaled, respiratory disorders), GlaxoSmithKline",57097,30,"fluticasone furoate (inhaled, respiratory disorders), GlaxoSmithKline; fluticasone furoate + vilanterol (oral inhalant, asthma/COPD), GlaxoSmithKline",30,null,Bioequivalence Study to Compare Fluticasone Furoate (FF) Single-strip Inhaler With FF Two-strip Inhaler and With FF/Vilanterol Combination,115440; NCT01485445,GlaxoSmithKline plc,82997,"DECEMBER , 21, 2011",Completed
3,null,Arthralgia,Monovisc; triamcinolone hexacetonide,Phase 3 Clinical,C3,CINGAL,103224,526,CINGAL,526,null,Study of Cingal for the Relief of Knee Osteoarthritis Compared to Triamcinolone Hexacetonide at 39 Weeks Follow-up,2017-003205-18; CINGAL 17-02; NCT03390036,Anika Therapeutics Inc,324751,"DECEMBER , 07, 2017",Completed
1,null,Enteritis,null,Phase 1/Phase 2 Clinical,C12,"beclomethasone dipropionate (oral, radiation enteritis), Soligenix",49161,16,SGX-201,16,null,A Dose-Ranging Study of Delayed Release Beclomethasone for Prevention of Acute Enteritis in Patients With Rectal Cancer,1R43CA141968-01; BDP-ENT-01; NCT01073384,Soligenix Inc,64387,"DECEMBER , 31, 2009",Completed
1+,Bone mineral density; Lumbar spine bone mineral density,Chronic obstructive pulmonary disease,null,Phase 3 Clinical,C3,"budesonide + formoterol (inhalant aerosol, chronic obstructive pulmonary disease), Pearl Therapeutics",70143,500,PT-003; PT-009; PT-010; symbicort,500,null,"Study to Assess the Safety and Tolerability of PT-010, PT-009 and PT-003 in Subjects With Moderate to Very Severe Chronic Obstructive Pulmonary Disease",NCT02536508; NCT03313570; PT010008,"AstraZeneca plc, Pearl Therapeutics Inc",239329,"AUGUST   , 10, 2015",Completed
1,null,Adrenal gland hypofunction,null,Phase 1 Clinical,C1,"hydrocortisone (oral granules, adrenal insufficiency), Diurnal/Emerge Health/Medison Pharma",79146,18,Infacort,18,null,Bioavailability of Infacort When Administered Onto Food Compared to Direct Oral Administration,2016-001388-36; INFACORT 006; NCT03178214,Diurnal Ltd,300900,"MAY      , 22, 2017",Completed
1,null,Chronic sinusitis,null,Phase 1 Clinical,C1,"mometasone furoate (sustained release transmucosal formulation, chronic sinusitis), Lyra Therapeutics",103922,20,mometasone,20,null,480 Biomedical Sinus Drug Depot,480MFSDD2016-001; NCT02942186; NCT02967731,Lyra Therapeutics,280158,"JUNE     , 06, 2017",Completed
2,null,Allergic rhinitis,mometasone (nasal/ dermatological),Phase 3 Clinical,C3,"fluticasone furoate (nasal, allergic rhinitis), GSK",42259,125,GW-685698X,125,null,Long Term Safety Of GW-685698X Via Nasal Biopsy,FFR104503; NCT00224523,GlaxoSmithKline plc,12096,"SEPTEMBER, 30, 2005",Completed
1,null,Seasonal allergic rhinitis,null,Phase 3 Clinical,C3,"fluticasone furoate (nasal, allergic rhinitis), GSK",42259,288,fluticasone furoate,285,null,Study In Adults And Adolescents With Seasonal Allergic Rhinitis,FFR103184; NCT00225823,GlaxoSmithKline plc,12097,"MAY      , 31, 2005",Completed
2,Cortisol,Osteoarthritis,triamcinolone acetonide,Phase 2 Clinical,C2,"triamcinolone acetonide (sustained-release, pain), Flexion",72124,24,FX-006,24,null,Pharmacokinetic and Pharmacodynamic Study of FX-006 in Patients With Osteoarthritis of the Knee,FX006-2011-002; NCT01487200,Flexion Therapeutics Inc,83055,"JULY     , 31, 2012",Completed
2,Alanine transaminase; Albumin; Aspartate aminotransferase; Bicarbonates; Bilirubin; Blood platelets; Body temperature; Calcium; Chlorides; Creatinine; Diastolic blood pressure; Erythrocytes; Glucose; Heart; Heart rate; Hematocrit; Hemoglobin; Ketones; Lactate dehydrogenase; Leukocyte count; Lung; Mean corpuscular hemoglobin; Nitrite; Phosphate; Potassium; Skin; Sodium; Systolic blood pressure; Total cholesterol; Total protein; Triglycerides; Urea nitrogen; Uric acid; Urobilinogen; gamma-Glutamyltransferase,Psoriasis,betamethasone valerate,Phase 1b Clinical,C1B,"SEGRA (topical, plaque psoriasis), Leo Pharma",112485,13,LEO-134310,13,null,"Clinical Trial to Assess Safety, Tolerability and the Pharmacodynamic Effect of Different Concentrations of a New Anti-inflammatory Substance in Subjects With Chronic Plaque Psoriasis",2018-000140-26; LP0155-1375; NCT03669757,LEO Pharma A/S,353433,"SEPTEMBER, 27, 2018",Completed
1,ACR20; ACR50; ACR70; Joint swelling; Joint tenderness,Rheumatoid arthritis,null,Phase 3 Clinical,C3,"prednisone (oral, delayed release), Vectura/Mundipharma/Merck KGaA",54733,350,"prednisone (oral, delayed release), Horizon/Mundipharma",350,CAPRA-2,Study to Assess the Safety and Efficacy of Modified-Release Prednisone (Lodotra) Therapy in Patients With Active Rheumatoid Arthritis,CAPRA-2; EudraCT-Number: 2007-003508-36; NCT00650078; NP01-007,Horizon Pharma plc,9663,"MARCH    , 31, 2008",Completed
5,Skin,Psoriasis,calcipotriene + betamethasone dipropionate; calcipotriol; clobetasol; prednicarbate,Phase 1 Clinical,C1,mapracorat,46177,24,mapracorat,24,null,Open Psoriasis Plaque Test to Evaluate Efficacy of Different Comparator to Mapracorat,1404003; 16599; 2012-004171-39; NCT03399526,Bayer AG,325659,"FEBRUARY , 11, 2013",Completed
1,null,Meniere disease,null,Phase 3 Clinical,C3,"dexamethasone (sustained release/intratympanic injection, ear disorders), Otonomy",65289,160,OTO-104,160,null,Phase III Study of OTO-104 in Subjects With Unilateral Meniere's Disease,104-201811; NCT03664674,Otonomy Inc,352993,"AUGUST   , 27, 2018",Recruiting
2,serum cortisol,Allergic rhinitis,null,Phase 4 Clinical,C4,"triamcinolone acetonide (nasal spray, allergic rhinitis), Sanofi",12937,140,"loratadine; triamcinolone acetonide (nasal spray, allergic rhinitis), Sanofi",140,null,Nasacort AQ Hypothalamic-Pituitary-Adrenal (HPA) Axis Study in Children With Allergic Rhinitis,2014-004646-98; NCT01154153; TRICA_L_04286,Sanofi SA,67836,"JUNE     , 30, 2010",Completed
2,Intraocular pressure; Retina; Visual acuity,Diabetic macular edema,Lucentis,Phase 2/Phase 3 Clinical,C23,"fluocinolone acetonide (intraocular implant), Alimera/pSivida",52822,null,Iluvien; Lucentis,null,CASSIE,"Randomized, Control Trial on Combined Iluvien and Lucentis for Diabetic Macular Oedema",CASSIE; NCT03784443; P78912,Imperial College London,364319,"SEPTEMBER, 01, 2019",Terminated
2,null,Allergic rhinitis,fluticasone propionate,Phase 4 Clinical,C4,"fluticasone furoate (nasal, allergic rhinitis), GSK",42259,377,fluticasone furoate,377,null,Comparator Study Evaluating Patient Preference Of FFNS versus FPNS,FFU105924; NCT00539006,GlaxoSmithKline plc,11295,"AUGUST   , 31, 2007",Completed
2,null,Psoriasis,"clobetasol propionate foam, Connetics",Phase 4 Clinical,C4,"clobetasol propionate foam, Connetics",18168,16,triamcinolone,16,null,Comparison of Efficacy of Intralesional Triamcinolone Injection and Clobetasol Propionate Ointment for Psoriatic Nails,NCT01703325; Si599/2010,Mahidol University,94221,"NOVEMBER , 30, 2010",Completed
3,null,Pemphigoid,Dermovate; orabase,Phase 1 Clinical,C1,"clobetasol propionate foam, Connetics",18168,20,orabase; platelet rich fibrin gel,20,null,PRF in Management of Chronic Multiple Oral Ulcers,00UAD; NCT03878771,Beni-Suef University,373754,"MARCH    , 13, 2019",Not yet recruiting
3,null,Mouth ulcer,Dermovate; orabase,Phase 1 Clinical,C1,"clobetasol propionate foam, Connetics",18168,20,orabase; platelet rich fibrin gel,20,null,PRF in Management of Chronic Multiple Oral Ulcers,00UAD; NCT03878771,Beni-Suef University,373754,"MARCH    , 13, 2019",Not yet recruiting
1,Forced Vital Capacity; Fukutin-related protein; Maximal expiratory pressure; Maximal inspiratory mouth pressure,Limb girdle muscular dystrophy,null,Phase 3 Clinical,C3,"deflazacort (oral tablet/suspension, Duchenne muscular dystrophy), PCT Therapeutics",86985,100,deflazacort,100,null,A Study of Deflazacort (Emflaza) in Participants With Limb-Girdle Muscular Dystrophy 2I (LGMD2I),NCT03783923; PTCEMF-GD-004-LGMD,PTC Therapeutics Inc,364440,"MAY      , 15, 2019",Not yet recruiting
